user_id,title,content_type,genre,platform,device,watch_date,watch_hour,watch_day,watch_month,duration_minutes,completed,user_rating,ai_match_score,country,language,age_group,subscription_tier,is_binge,was_recommended,trailer_watched,added_to_watchlist,shared_content,release_year,imdb_score
USR4811,Interstellar,Movie,Horror,Netflix,Smart TV,2024-11-23,1,Saturday,November,183,False,4,95.5,Canada,Japanese,35-44,Standard,True,True,True,False,False,2019,8.3
USR8527,Parasite,Series,Drama,Netflix,Laptop,2024-12-23,18,Monday,December,44,True,4,91.3,India,German,18-24,Basic,False,False,True,True,True,2023,7.8
USR5374,Se7en,Documentary,Mystery,Apple TV+,Tablet,2024-04-26,13,Friday,April,65,False,5,78.6,France,Japanese,35-44,Basic,False,True,True,False,False,2022,8.0
USR6155,The Last of Us,Anime,Documentary,Apple TV+,Smart TV,2024-04-22,22,Monday,April,28,True,4,91.8,Australia,Hindi,45-54,Standard,True,True,False,True,False,2022,7.4
USR2040,Mindhunter,Series,Mystery,Netflix,Mobile,2024-07-23,20,Tuesday,July,32,True,3,85.6,USA,Portuguese,25-34,Premium,False,True,False,False,False,2020,5.0
USR5889,Fullmetal Alchemist,Movie,Drama,Netflix,Smart TV,2024-11-24,16,Sunday,November,120,True,5,82.8,UK,English,25-34,Basic,False,False,False,False,False,2018,5.5
USR9727,3 Body Problem,Documentary,Documentary,Netflix,Smart TV,2024-07-04,21,Thursday,July,107,True,2,99.0,India,Hindi,25-34,Basic,False,True,True,False,False,2019,5.4
USR4608,Dark S3,Series,Romance,Amazon Prime,Tablet,2024-06-08,18,Saturday,June,23,False,2,79.2,India,Japanese,18-24,Premium,False,True,True,False,False,2019,7.4
USR2612,Succession,Series,Sci-Fi,Amazon Prime,Mobile,2024-10-19,15,Saturday,October,48,True,4,94.7,USA,English,45-54,Basic,True,True,True,True,False,2018,8.1
USR4502,Ozark,Documentary,Documentary,Netflix,Laptop,2024-08-14,9,Wednesday,August,75,True,3,83.7,Brazil,English,13-17,Basic,False,False,True,False,False,2024,7.2
USR9238,Inception,Anime,Comedy,Netflix,Smart TV,2024-10-11,2,Friday,October,32,True,2,97.2,India,Portuguese,18-24,Basic,False,True,True,True,False,2019,7.8
USR5915,WandaVision,Series,Romance,Amazon Prime,Mobile,2024-10-23,11,Wednesday,October,42,True,3,66.5,USA,Spanish,18-24,Standard,False,False,True,True,False,2020,6.8
USR5905,Gone Girl,Documentary,Drama,Netflix,Tablet,2024-02-05,0,Monday,February,112,True,5,81.8,India,French,25-34,Premium,False,True,True,True,False,2023,5.8
USR5291,Killers of the Flower Moon,Documentary,Action,Netflix,Tablet,2024-11-20,0,Wednesday,November,50,True,5,95.8,Germany,Japanese,25-34,Free,True,False,False,False,False,2022,7.7
USR6794,Spirited Away,Movie,Thriller,Netflix,Tablet,2024-10-09,19,Wednesday,October,128,True,5,89.5,Brazil,Hindi,35-44,Basic,False,False,False,False,False,2018,5.1
USR8711,Wednesday,Anime,Drama,HBO Max,Tablet,2024-04-01,4,Monday,April,44,True,4,94.6,India,German,25-34,Premium,False,True,False,False,False,2018,5.7
USR5349,The Bear,Series,Action,Disney+,Tablet,2024-05-22,9,Wednesday,May,38,True,5,84.1,India,Hindi,35-44,Basic,False,True,True,False,False,2023,7.4
USR6143,Gone Girl,Movie,Fantasy,Amazon Prime,Laptop,2024-08-11,22,Sunday,August,92,True,4,84.4,Japan,Korean,25-34,Basic,True,True,True,True,False,2021,5.6
USR8238,The Mandalorian,Anime,Sci-Fi,Disney+,Mobile,2024-12-12,18,Thursday,December,40,True,3,88.4,Australia,Hindi,45-54,Premium,False,True,True,False,False,2018,6.4
USR4185,Zodiac,Anime,Sci-Fi,Netflix,Smart TV,2024-04-30,15,Tuesday,April,24,True,5,85.3,Australia,Hindi,18-24,Standard,True,False,False,True,False,2019,8.4
USR8251,One Piece,Series,Thriller,Netflix,Tablet,2024-12-22,18,Sunday,December,57,True,5,71.2,Japan,French,25-34,Premium,True,True,False,False,False,2024,7.7
USR3267,Shogun 2024,Movie,Anime,Amazon Prime,Smart TV,2024-11-22,12,Friday,November,160,True,4,73.2,USA,Korean,35-44,Free,True,True,True,True,False,2024,7.8
USR7865,Parasite,Short Film,Thriller,Apple TV+,Mobile,2024-10-26,21,Saturday,October,22,True,4,66.1,Germany,Japanese,35-44,Basic,True,True,True,True,False,2021,7.6
USR8564,Severance,Documentary,Fantasy,HBO Max,Mobile,2024-03-25,19,Monday,March,55,True,5,93.9,India,Hindi,18-24,Basic,False,True,False,False,False,2018,6.4
USR1333,One Piece,Movie,Action,HBO Max,Smart TV,2024-08-28,22,Wednesday,August,82,False,5,76.8,India,English,35-44,Standard,True,True,False,True,False,2023,5.6
USR2245,Attack on Titan,Documentary,Sci-Fi,Netflix,Mobile,2024-02-28,14,Wednesday,February,93,True,5,94.4,Australia,Japanese,18-24,Premium,False,True,True,False,False,2020,6.6
USR3506,Peaky Blinders,Series,Drama,Amazon Prime,Smart TV,2024-09-29,18,Sunday,September,45,True,3,93.7,India,Hindi,35-44,Standard,False,False,True,False,False,2020,5.5
USR8988,The Last of Us,Documentary,Thriller,Apple TV+,Smart TV,2024-05-05,16,Sunday,May,48,False,4,74.3,USA,English,25-34,Standard,False,True,False,True,False,2021,7.5
USR7046,Loki,Series,Sci-Fi,Amazon Prime,Laptop,2024-09-07,19,Saturday,September,47,True,4,83.6,Canada,English,55+,Standard,True,True,True,True,False,2020,7.3
USR4180,Breaking Bad,Anime,Crime,Disney+,Smart TV,2024-03-02,18,Saturday,March,38,True,4,84.5,USA,English,13-17,Standard,True,False,False,False,True,2024,6.3
USR9056,Dune Part Two,Movie,Thriller,Netflix,Mobile,2024-09-08,4,Sunday,September,197,False,4,73.8,Canada,Korean,18-24,Premium,False,True,True,False,False,2022,9.6
USR4404,Fullmetal Alchemist,Movie,Action,Amazon Prime,Mobile,2024-11-12,18,Tuesday,November,90,True,4,99.0,India,Korean,18-24,Basic,True,True,True,False,False,2019,4.6
USR2880,Parasite,Anime,Horror,Amazon Prime,Laptop,2024-05-27,20,Monday,May,43,True,5,97.5,USA,English,25-34,Free,True,False,False,False,False,2021,6.3
USR1423,Poor Things,Series,Drama,Amazon Prime,Smart TV,2024-03-04,20,Monday,March,49,True,4,76.7,USA,Korean,45-54,Standard,True,False,False,False,False,2019,6.9
USR2713,Killers of the Flower Moon,Series,Comedy,Netflix,Desktop,2024-08-28,13,Wednesday,August,52,False,5,71.5,USA,Korean,25-34,Premium,False,True,True,True,False,2024,8.0
USR4335,Stranger Things,Documentary,Documentary,Netflix,Tablet,2024-07-25,18,Thursday,July,108,True,4,82.4,Canada,German,25-34,Standard,True,False,False,True,True,2022,7.3
USR5479,Narcos,Series,Thriller,HBO Max,Tablet,2024-01-08,22,Monday,January,53,True,5,81.1,Japan,Portuguese,18-24,Standard,True,False,False,False,False,2020,7.3
USR8935,Chernobyl,Movie,Anime,Netflix,Smart TV,2024-07-31,21,Wednesday,July,200,True,4,82.7,USA,Spanish,25-34,Premium,False,False,True,False,False,2021,5.1
